Code	Name	Estimated Population mid-2015	Births	Deaths	Births minus Deaths	Internal Migration Inflow	Internal Migration Outflow	Internal Migration Net	International Migration Inflow	International Migration Outflow	International Migration Net	Other	Estimated Population mid-2016
E07000148	Norwich	"138,872"	"1,733"	"1,123"	610	"11,063"	"11,318"	-255	"2,692"	867	"1,825"	-11	"141,041"
E07000149	South Norfolk	"131,010"	"1,361"	"1,264"	97	"7,946"	"6,372"	"1,574"	367	215	152	4	"132,837"
E10000029	Suffolk	"741,895"	"8,080"	"7,405"	675	"23,676"	"20,668"	"3,008"	"3,598"	"3,965"	-367	63	"745,274"
E07000200	Babergh	"89,215"	834	984	-150	"4,828"	"4,464"	364	275	232	43	26	"89,498"
E07000201	Forest Heath	"63,691"	"1,029"	510	519	"3,622"	"2,951"	671	462	862	-400	-34	"64,447"
E07000202	Ipswich	"135,600"	"2,017"	"1,150"	867	"6,146"	"6,953"	-807	"1,370"	"1,125"	245	3	"135,908"
E07000203	Mid Suffolk	"99,632"	845	888	-43	"5,389"	"4,940"	449	218	229	-11	-13	"100,014"
E07000204	St Edmundsbury	"112,523"	"1,203"	"1,043"	160	"5,475"	"5,083"	392	512	616	-104	-33	"112,938"
E07000205	Suffolk Coastal	"125,052"	"1,030"	"1,381"	-351	"6,407"	"5,132"	"1,275"	465	613	-148	127	"125,955"
E07000206	Waveney	"116,182"	"1,122"	"1,449"	-327	"4,454"	"3,790"	664	296	288	8	-13	"116,514"
E12000007	LONDON	"8,673,713"	"129,847"	"48,513"	"81,334"	"198,327"	"291,629"	"-93,302"	"220,908"	"94,829"	"126,079"	68	"8,787,892"
E09000007	Camden	"241,059"	"2,756"	"1,131"	"1,625"	"20,300"	"23,452"	"-3,152"	"13,130"	"6,492"	"6,638"	11	"246,181"
E09000001	City of London	"8,760"	58	42	16	745	809	-64	802	114	688	1	"9,401"
E09000012	Hackney	"269,009"	"4,533"	"1,105"	"3,428"	"19,338"	"20,999"	"-1,661"	"5,993"	"3,239"	"2,754"	-4	"273,526"
E09000013	Hammersmith and Fulham	"179,410"	"2,457"	880	"1,577"	"15,865"	"19,574"	"-3,709"	"6,596"	"4,281"	"2,315"	61	"179,654"
E09000014	Haringey	"272,864"	"4,147"	"1,201"	"2,946"	"21,313"	"24,701"	"-3,388"	"9,274"	"3,245"	"6,029"	0	"278,451"
E09000019	Islington	"227,692"	"2,922"	"1,005"	"1,917"	"20,649"	"22,654"	"-2,005"	"8,838"	"3,383"	"5,455"	-194	"232,865"
E09000020	Kensington and Chelsea	"157,711"	"1,764"	841	923	"9,934"	"13,818"	"-3,884"	"5,404"	"3,458"	"1,946"	30	"156,726"
E09000022	Lambeth	"324,431"	"4,410"	"1,451"	"2,959"	"32,031"	"34,447"	"-2,416"	"8,446"	"5,498"	"2,948"	-12	"327,910"
E09000023	Lewisham	"297,325"	"4,803"	"1,496"	"3,307"	"22,916"	"24,809"	"-1,893"	"5,508"	"2,397"	"3,111"	17	"301,867"
E09000025	Newham	"332,817"	"6,211"	"1,294"	"4,917"	"19,553"	"27,349"	"-7,796"	"15,107"	"4,068"	"11,039"	1	"340,978"
E09000028	Southwark	"308,901"	"4,509"	"1,318"	"3,191"	"25,742"	"29,214"	"-3,472"	"9,694"	"5,087"	"4,607"	-4	"313,223"
E09000030	Tower Hamlets	"295,236"	"4,597"	"1,095"	"3,502"	"22,197"	"25,228"	"-3,031"	"13,832"	"4,687"	"9,145"	2	"304,854"
E09000032	Wandsworth	"314,544"	"4,917"	"1,546"	"3,371"	"30,996"	"33,670"	"-2,674"	"7,434"	"6,634"	800	55	"316,096"
E09000033	Westminster	"242,299"	"2,656"	"1,142"	"1,514"	"16,564"	"21,932"	"-5,368"	"14,616"	"5,426"	"9,190"	-21	"247,614"
E09000002	Barking and Dagenham	"201,979"	"3,993"	"1,229"	"2,764"	"12,687"	"14,263"	"-1,576"	"4,125"	824	"3,301"	-8	"206,460"
E09000003	Barnet	"379,691"	"5,330"	"2,394"	"2,936"	"22,812"	"24,591"	"-1,779"	"8,516"	"3,293"	"5,223"	12	"386,083"
E09000004	Bexley	"242,142"	"3,098"	"2,015"	"1,083"	"12,496"	"11,765"	731	"1,299"	490	809	-5	"244,760"
E09000005	Brent	"324,012"	"5,236"	"1,712"	"3,524"	"18,066"	"26,022"	"-7,956"	"12,697"	"4,020"	"8,677"	-3	"328,254"
E09000006	Bromley	"324,857"	"4,251"	"2,552"	"1,699"	"17,371"	"17,827"	-456	"1,845"	"1,071"	774	15	"326,889"
E09000008	Croydon	"379,031"	"5,913"	"2,433"	"3,480"	"20,656"	"23,458"	"-2,802"	"4,762"	"2,155"	"2,607"	-12	"382,304"
E09000009	Ealing	"343,059"	"5,151"	"1,858"	"3,293"	"20,224"	"27,026"	"-6,802"	"9,295"	"5,628"	"3,667"	-21	"343,196"
E09000010	Enfield	"328,433"	"5,039"	"2,064"	"2,975"	"16,821"	"20,234"	"-3,413"	"4,819"	"1,404"	"3,415"	-15	"331,395"
E09000011	Greenwich	"274,803"	"4,655"	"1,610"	"3,045"	"18,487"	"19,915"	"-1,428"	"4,882"	"1,704"	"3,178"	168	"279,766"
E09000015	Harrow	"247,130"	"3,661"	"1,489"	"2,172"	"13,277"	"17,436"	"-4,159"	"4,922"	"1,333"	"3,589"	20	"248,752"
E09000016	Havering	"249,085"	"3,447"	"2,286"	"1,161"	"12,340"	"10,637"	"1,703"	"1,401"	554	847	-13	"252,783"
E09000017	Hillingdon	"297,735"	"4,503"	"1,774"	"2,729"	"17,218"	"19,471"	"-2,253"	"5,706"	"1,465"	"4,241"	19	"302,471"
E09000018	Hounslow	"268,770"	"4,400"	"1,428"	"2,972"	"15,143"	"20,163"	"-5,020"	"6,490"	"2,098"	"4,392"	25	"271,139"
E09000021	Kingston upon Thames	"173,525"	"2,277"	"1,039"	"1,238"	"12,265"	"13,143"	-878	"3,494"	"1,238"	"2,256"	-34	"176,107"
E09000024	Merton	"204,565"	"3,362"	"1,203"	"2,159"	"14,818"	"17,693"	"-2,875"	"3,989"	"2,803"	"1,186"	-6	"205,029"
E09000026	Redbridge	"296,793"	"4,743"	"1,819"	"2,924"	"17,307"	"21,728"	"-4,421"	"5,996"	"2,035"	"3,961"	-8	"299,249"
E09000027	Richmond upon Thames	"194,730"	"2,602"	"1,227"	"1,375"	"13,213"	"14,070"	-857	"2,099"	"1,497"	602	-4	"195,846"
E09000029	Sutton	"200,145"	"2,684"	"1,431"	"1,253"	"11,101"	"10,766"	335	"1,196"	702	494	-7	"202,220"
E09000031	Waltham Forest	"271,170"	"4,762"	"1,403"	"3,359"	"15,167"	"20,050"	"-4,883"	"8,701"	"2,506"	"6,195"	2	"275,843"
E12000008	SOUTH EAST	"8,947,913"	"102,826"	"79,017"	"23,809"	"238,756"	"225,097"	"13,659"	"77,072"	"38,048"	"39,024"	"1,892"	"9,026,297"
E06000036	Bracknell Forest	"118,982"	"1,448"	700	748	"6,071"	"6,870"	-799	947	478	469	47	"119,447"
E06000043	Brighton and Hove	"285,276"	"2,935"	"2,106"	829	"19,601"	"20,288"	-687	"6,216"	"2,408"	"3,808"	3	"289,229"
E06000046	Isle of Wight	"139,395"	"1,218"	"1,725"	-507	"4,611"	"3,844"	767	405	275	130	13	"139,798"
E06000035	Medway	"276,492"	"3,640"	"2,181"	"1,459"	"11,922"	"12,406"	-484	"1,621"	609	"1,012"	63	"278,542"
E06000042	Milton Keynes	"261,762"	"3,782"	"1,708"	"2,074"	"10,806"	"11,391"	-585	"2,596"	"1,358"	"1,238"	-10	"264,479"
E06000044	Portsmouth	"211,758"	"2,642"	"1,693"	949	"11,950"	"11,866"	84	"2,975"	"1,078"	"1,897"	144	"214,832"
E06000038	Reading	"161,739"	"2,532"	"1,057"	"1,475"	"11,558"	"14,048"	"-2,490"	"3,714"	"1,763"	"1,951"	-9	"162,666"
E06000039	Slough	"145,734"	"2,652"	845	"1,807"	"6,902"	"8,502"	"-1,600"	"2,306"	"1,079"	"1,227"	13	"147,181"
E06000045	Southampton	"249,537"	"3,246"	"1,823"	"1,423"	"16,210"	"16,493"	-283	"5,456"	"1,875"	"3,581"	17	"254,275"
E06000037	West Berkshire	"156,020"	"1,761"	"1,191"	570	"8,242"	"8,144"	98	857	749	108	41	"156,837"
E06000040	Windsor and Maidenhead	"147,708"	"1,705"	"1,210"	495	"9,160"	"8,832"	328	"1,311"	"1,017"	294	-11	"148,814"
E06000041	Wokingham	"160,409"	"1,886"	"1,187"	699	"10,306"	"9,788"	518	"1,197"	707	490	-238	"161,878"
E10000002	Buckinghamshire	"528,400"	"6,183"	"4,037"	"2,146"	"24,682"	"22,843"	"1,839"	"3,729"	"1,584"	"2,145"	190	"534,720"
E07000004	Aylesbury Vale	"188,707"	"2,318"	"1,359"	959	"10,467"	"8,475"	"1,992"	"1,656"	428	"1,228"	227	"193,113"
E07000005	Chiltern	"94,545"	910	771	139	"5,368"	"5,134"	234	415	219	196	-11	"95,103"
E07000006	South Bucks	"69,120"	767	660	107	"4,803"	"4,556"	247	419	265	154	8	"69,636"
E07000007	Wycombe	"176,028"	"2,188"	"1,247"	941	"8,666"	"9,300"	-634	"1,239"	672	567	-34	"176,868"
E10000011	East Sussex	"544,064"	"5,102"	"6,411"	"-1,309"	"21,122"	"16,830"	"4,292"	"2,516"	"1,764"	752	-2	"547,797"
E07000061	Eastbourne	"102,465"	"1,044"	"1,258"	-214	"5,913"	"5,373"	540	773	513	260	3	"103,054"
E07000062	Hastings	"91,497"	"1,083"	"1,001"	82	"4,535"	"4,045"	490	566	412	154	13	"92,236"
E07000063	Lewes	"100,693"	864	"1,094"	-230	"5,771"	"4,972"	799	353	214	139	-20	"101,381"
E07000064	Rother	"92,908"	719	"1,330"	-611	"5,899"	"4,706"	"1,193"	290	235	55	6	"93,551"
E07000065	Wealden	"156,501"	"1,392"	"1,728"	-336	"8,546"	"7,276"	"1,270"	534	390	144	-4	"157,575"
E10000014	Hampshire	"1,353,043"	"14,517"	"12,472"	"2,045"	"50,715"	"48,262"	"2,453"	"5,695"	"3,744"	"1,951"	934	"1,360,426"
E07000084	Basingstoke and Deane	"173,856"	"2,211"	"1,316"	895	"6,949"	"7,463"	-514	"1,006"	705	301	50	"174,588"
E07000085	East Hampshire	"118,077"	"1,051"	"1,179"	-128	"6,777"	"6,291"	486	455	378	77	-557	"117,955"
E07000086	Eastleigh	"129,027"	"1,467"	"1,018"	449	"6,329"	"6,308"	21	337	190	147	-9	"129,635"
E07000087	Fareham	"114,799"	"1,095"	"1,164"	-69	"5,721"	"5,238"	483	312	177	135	75	"115,423"
E07000088	Gosport	"84,672"	932	805	127	"3,613"	"3,341"	272	200	138	62	230	"85,363"
E07000089	Hart	"93,912"	962	685	277	"5,348"	"5,353"	-5	395	283	112	-46	"94,250"
E07000090	Havant	"122,927"	"1,336"	"1,324"	12	"5,793"	"5,160"	633	274	171	103	-35	"123,640"
E07000091	New Forest	"179,023"	"1,468"	"2,107"	-639	"7,689"	"7,218"	471	649	328	321	60	"179,236"
E07000092	Rushmoor	"95,342"	"1,413"	702	711	"5,408"	"6,402"	-994	719	298	421	847	"96,327"
E07000093	Test Valley	"120,712"	"1,373"	"1,101"	272	"6,897"	"6,018"	879	525	457	68	113	"122,044"
E07000094	Winchester	"120,696"	"1,209"	"1,071"	138	"9,295"	"8,574"	721	823	619	204	206	"121,965"
E10000016	Kent	"1,524,719"	"17,217"	"14,398"	"2,819"	"54,097"	"46,135"	"7,962"	"10,502"	"4,198"	"6,304"	89	"1,541,893"
E07000105	Ashford	"124,250"	"1,488"	"1,060"	428	"6,409"	"5,469"	940	712	181	531	2	"126,151"
E07000106	Canterbury	"159,965"	"1,370"	"1,548"	-178	"12,634"	"11,460"	"1,174"	"2,276"	816	"1,460"	-5	"162,416"
E07000107	Dartford	"103,892"	"1,503"	935	568	"6,629"	"5,961"	668	598	189	409	6	"105,543"
E07000108	Dover	"113,228"	"1,158"	"1,252"	-94	"4,893"	"3,917"	976	539	444	95	22	"114,227"
E07000109	Gravesham	"106,299"	"1,380"	850	530	"4,501"	"5,036"	-535	811	310	501	13	"106,808"
E07000110	Maidstone	"164,499"	"1,974"	"1,430"	544	"8,195"	"7,903"	292	"1,494"	445	"1,049"	-24	"166,360"
E07000111	Sevenoaks	"118,409"	"1,243"	"1,007"	236	"6,753"	"6,491"	262	518	292	226	9	"119,142"
E07000112	Shepway	"110,034"	"1,106"	"1,283"	-177	"5,458"	"4,340"	"1,118"	403	229	174	41	"111,190"
E07000113	Swale	"142,417"	"1,798"	"1,271"	527	"6,470"	"5,176"	"1,294"	962	186	776	28	"145,042"
E07000114	Thanet	"139,772"	"1,628"	"1,696"	-68	"5,702"	"5,057"	645	857	531	326	-23	"140,652"
E07000115	Tonbridge and Malling	"125,713"	"1,373"	"1,020"	353	"7,750"	"6,834"	916	516	212	304	7	"127,293"
E07000116	Tunbridge Wells	"116,241"	"1,196"	"1,046"	150	"6,758"	"6,546"	212	816	363	453	13	"117,069"
E10000025	Oxfordshire	"677,810"	"7,819"	"5,312"	"2,507"	"31,068"	"33,086"	"-2,018"	"9,294"	"4,699"	"4,595"	275	"683,169"
E07000177	Cherwell	"145,550"	"1,871"	"1,181"	690	"7,068"	"7,360"	-292	"1,168"	854	314	76	"146,338"
E07000178	Oxford	"159,574"	"1,870"	899	971	"14,236"	"17,001"	"-2,765"	"5,913"	"2,401"	"3,512"	-1	"161,291"
E07000179	South Oxfordshire	"137,412"	"1,556"	"1,187"	369	"8,062"	"7,892"	170	765	688	77	100	"138,128"
E07000180	Vale of White Horse	"126,663"	"1,410"	"1,004"	406	"8,258"	"7,071"	"1,187"	902	442	460	22	"128,738"
E07000181	West Oxfordshire	"108,611"	"1,112"	"1,041"	71	"4,739"	"5,057"	-318	546	314	232	78	"108,674"
E10000030	Surrey	"1,168,809"	"13,588"	"10,046"	"3,542"	"54,718"	"55,422"	-704	"10,314"	"5,677"	"4,637"	265	"1,176,549"
E07000207	Elmbridge	"132,670"	"1,694"	"1,025"	669	"7,660"	"8,195"	-535	"1,112"	"1,173"	-61	21	"132,764"
E07000208	Epsom and Ewell	"78,950"	919	620	299	"5,096"	"5,094"	2	520	196	324	13	"79,588"
E07000209	Guildford	"146,080"	"1,551"	"1,080"	471	"10,228"	"10,801"	-573	"2,956"	992	"1,964"	78	"148,020"
E07000210	Mole Valley	"86,104"	800	852	-52	"4,860"	"4,704"	156	427	404	23	-8	"86,223"
E07000211	Reigate and Banstead	"144,100"	"1,790"	"1,349"	441	"8,165"	"7,742"	423	846	375	471	213	"145,648"
E07000212	Runnymede	"85,594"	962	710	252	"6,591"	"6,340"	251	"1,307"	518	789	3	"86,889"
E07000213	Spelthorne	"98,469"	"1,337"	880	457	"5,165"	"5,427"	-262	638	336	302	-64	"98,902"
E07000214	Surrey Heath	"88,067"	947	750	197	"5,222"	"5,249"	-27	479	308	171	-21	"88,387"
E07000215	Tandridge	"86,025"	959	806	153	"5,540"	"5,242"	298	334	153	181	8	"86,665"
E07000216	Waverley	"123,315"	"1,309"	"1,202"	107	"7,908"	"7,862"	46	766	496	270	30	"123,768"
E07000217	Woking	"99,435"	"1,320"	772	548	"5,426"	"5,909"	-483	929	726	203	-8	"99,695"
E10000032	West Sussex	"836,256"	"8,953"	"8,915"	38	"32,033"	"27,065"	"4,968"	"5,421"	"2,986"	"2,435"	68	"843,765"
E07000223	Adur	"63,429"	684	715	-31	"3,337"	"3,324"	13	193	98	95	0	"63,506"
E07000224	Arun	"155,732"	"1,573"	"2,197"	-624	"7,528"	"6,023"	"1,505"	982	585	397	-13	"156,997"
E07000225	Chichester	"116,976"	998	"1,402"	-404	"7,903"	"6,658"	"1,245"	875	569	306	52	"118,175"
E07000226	Crawley	"110,864"	"1,612"	731	881	"4,041"	"5,287"	"-1,246"	"1,479"	607	872	4	"111,375"
E07000227	Horsham	"135,868"	"1,322"	"1,256"	66	"7,925"	"6,145"	"1,780"	608	321	287	17	"138,018"
E07000228	Mid Sussex	"145,651"	"1,620"	"1,299"	321	"7,565"	"6,755"	810	774	466	308	-1	"147,089"
E07000229	Worthing	"107,736"	"1,144"	"1,315"	-171	"5,691"	"4,830"	861	510	340	170	9	"108,605"
E12000009	SOUTH WEST	"5,471,180"	"58,441"	"56,035"	"2,406"	"146,834"	"116,686"	"30,148"	"38,134"	"27,388"	"10,746"	"1,473"	"5,515,953"
E06000022	Bath and North East Somerset	"184,874"	"1,874"	"1,700"	174	"13,907"	"12,540"	"1,367"	"2,578"	"1,254"	"1,324"	12	"187,751"
E06000028	Bournemouth	"194,516"	"2,234"	"1,996"	238	"15,108"	"14,562"	546	"3,753"	"1,424"	"2,329"	28	"197,657"
E06000023	"Bristol, City of"	"449,328"	"6,388"	"3,315"	"3,073"	"29,474"	"28,380"	"1,094"	"7,330"	"6,666"	664	54	"454,213"
E06000052	Cornwall	"549,404"	"5,377"	"6,094"	-717	"21,364"	"16,478"	"4,886"	"2,244"	"2,258"	-14	128	"553,687"
E06000053	Isles of Scilly	"2,324"	13	17	-4	178	185	-7	19	23	-4	-1	"2,308"
E06000024	North Somerset	"209,944"	"2,248"	"2,369"	-121	"9,275"	"7,575"	"1,700"	813	651	162	-4	"211,681"
E06000026	Plymouth	"262,712"	"3,106"	"2,438"	668	"13,031"	"13,421"	-390	"2,137"	965	"1,172"	37	"264,199"
E06000029	Poole	"150,577"	"1,612"	"1,659"	-47	"8,975"	"8,464"	511	851	426	425	34	"151,500"
E06000025	South Gloucestershire	"274,661"	"3,150"	"2,202"	948	"14,552"	"13,373"	"1,179"	"1,751"	"1,005"	746	89	"277,623"
E06000030	Swindon	"217,160"	"2,869"	"1,770"	"1,099"	"7,115"	"8,079"	-964	"1,926"	"1,305"	621	-11	"217,905"
E06000027	Torbay	"133,373"	"1,409"	"1,817"	-408	"6,358"	"5,509"	849	503	412	91	-22	"133,883"
E06000054	Wiltshire	"486,093"	"5,172"	"4,542"	630	"21,157"	"18,864"	"2,293"	"2,240"	"3,127"	-887	280	"488,409"
E10000008	Devon	"773,077"	"7,135"	"8,852"	"-1,717"	"33,399"	"26,958"	"6,441"	"4,410"	"2,482"	"1,928"	105	"779,834"
E07000040	East Devon	"138,141"	"1,223"	"1,907"	-684	"8,316"	"5,848"	"2,468"	404	390	14	-31	"139,908"
E07000041	Exeter	"127,308"	"1,339"	"1,078"	261	"10,943"	"10,320"	623	"2,416"	876	"1,540"	69	"129,801"
E07000042	Mid Devon	"79,510"	761	800	-39	"4,280"	"4,061"	219	306	233	73	26	"79,789"
E07000043	North Devon	"94,172"	909	"1,087"	-178	"4,673"	"4,130"	543	292	237	55	23	"94,615"
E07000044	South Hams	"84,470"	636	955	-319	"4,904"	"4,759"	145	311	319	-8	18	"84,306"
E07000045	Teignbridge	"128,826"	"1,169"	"1,549"	-380	"6,954"	"5,643"	"1,311"	331	201	130	-31	"129,856"
E07000046	Torridge	"66,265"	635	816	-181	"4,038"	"3,241"	797	175	97	78	18	"66,977"
E07000047	West Devon	"54,385"	463	660	-197	"3,308"	"2,973"	335	175	129	46	13	"54,582"
E10000009	Dorset	"420,585"	"3,490"	"5,166"	"-1,676"	"20,386"	"17,514"	"2,872"	"1,418"	804	614	332	"422,727"
E07000048	Christchurch	"49,057"	381	689	-308	"3,286"	"2,605"	681	136	99	37	14	"49,481"
E07000049	East Dorset	"88,690"	656	"1,145"	-489	"5,366"	"4,595"	771	207	112	95	26	"89,093"
E07000050	North Dorset	"70,713"	621	695	-74	"4,248"	"4,249"	-1	321	129	192	234	"71,064"
E07000051	Purbeck	"46,212"	386	501	-115	"2,565"	"2,493"	72	158	79	79	88	"46,336"
E07000052	West Dorset	"100,747"	771	"1,367"	-596	"6,375"	"5,260"	"1,115"	374	241	133	-17	"101,382"
E07000053	Weymouth and Portland	"65,166"	675	769	-94	"3,128"	"2,894"	234	222	144	78	-13	"65,371"
E10000013	Gloucestershire	"617,162"	"6,794"	"6,104"	690	"23,765"	"19,890"	"3,875"	"3,502"	"2,213"	"1,289"	113	"623,129"
E07000078	Cheltenham	"116,781"	"1,287"	"1,156"	131	"7,727"	"7,308"	419	"1,047"	865	182	17	"117,530"
E07000079	Cotswold	"85,162"	747	879	-132	"5,803"	"5,206"	597	487	378	109	20	"85,756"
E07000080	Forest of Dean	"84,544"	813	903	-90	"4,588"	"3,753"	835	228	118	110	-14	"85,385"
E07000081	Gloucester	"127,158"	"1,828"	"1,140"	688	"6,291"	"6,219"	72	"1,015"	461	554	16	"128,488"
E07000082	Stroud	"116,627"	"1,117"	"1,207"	-90	"5,781"	"5,059"	722	315	205	110	12	"117,381"
E07000083	Tewkesbury	"86,890"	"1,002"	819	183	"5,801"	"4,571"	"1,230"	410	186	224	62	"88,589"
E10000027	Somerset	"545,390"	"5,570"	"5,994"	-424	"21,808"	"17,912"	"3,896"	"2,659"	"2,373"	286	299	"549,447"
E07000187	Mendip	"111,724"	"1,109"	"1,159"	-50	"6,409"	"5,528"	881	534	550	-16	6	"112,545"
E07000188	Sedgemoor	"120,260"	"1,319"	"1,194"	125	"5,737"	"4,942"	795	595	363	232	24	"121,436"
E07000189	South Somerset	"164,982"	"1,645"	"1,800"	-155	"7,537"	"6,913"	624	757	778	-21	215	"165,645"
E07000190	Taunton Deane	"114,021"	"1,236"	"1,317"	-81	"6,357"	"4,932"	"1,425"	617	524	93	57	"115,515"
E07000191	West Somerset	"34,403"	261	524	-263	"2,010"	"1,839"	171	156	158	-2	-3	"34,306"
W92000004	WALES	"3,099,086"	"33,285"	"32,523"	762	"58,654"	"55,275"	"3,379"	"16,826"	"7,150"	"9,676"	247	"3,113,150"
W06000001	Isle of Anglesey	"69,979"	720	819	-99	"2,197"	"2,391"	-194	128	46	82	-45	"69,723"
W06000002	Gwynedd	"122,864"	"1,222"	"1,362"	-140	"5,654"	"5,569"	85	"1,145"	314	831	-13	"123,627"
W06000003	Conwy	"116,218"	"1,083"	"1,480"	-397	"4,793"	"4,167"	626	309	227	82	9	"116,538"
W06000004	Denbighshire	"94,691"	"1,019"	"1,179"	-160	"4,394"	"4,201"	193	215	137	78	3	"94,805"
W06000005	Flintshire	"154,074"	"1,588"	"1,473"	115	"4,876"	"4,850"	26	520	342	178	26	"154,419"
W06000006	Wrexham	"136,647"	"1,487"	"1,321"	166	"3,864"	"4,236"	-372	657	402	255	14	"136,710"
W06000023	Powys	"132,642"	"1,089"	"1,541"	-452	"5,119"	"5,230"	-111	345	284	61	20	"132,160"
W06000008	Ceredigion	"74,642"	593	763	-170	"4,969"	"5,641"	-672	612	270	342	4	"74,146"
W06000009	Pembrokeshire	"123,464"	"1,136"	"1,438"	-302	"4,410"	"3,680"	730	296	197	99	-37	"123,954"
W06000010	Carmarthenshire	"185,123"	"1,884"	"2,253"	-369	"6,702"	"6,080"	622	570	334	236	-2	"185,610"
W06000011	Swansea	"242,382"	"2,528"	"2,610"	-82	"9,792"	"9,442"	350	"2,668"	823	"1,845"	18	"244,513"
W06000012	Neath Port Talbot	"140,992"	"1,505"	"1,590"	-85	"4,490"	"3,988"	502	247	83	164	15	"141,588"
W06000013	Bridgend	"142,092"	"1,537"	"1,510"	27	"4,656"	"3,803"	853	408	201	207	-2	"143,177"
W06000014	Vale of Glamorgan	"127,592"	"1,307"	"1,293"	14	"5,139"	"4,468"	671	285	165	120	66	"128,463"
W06000015	Cardiff	"357,160"	"4,556"	"2,760"	"1,796"	"20,099"	"21,019"	-920	"5,602"	"2,214"	"3,388"	44	"361,468"
W06000016	Rhondda Cynon Taf	"237,411"	"2,760"	"2,563"	197	"6,953"	"6,848"	105	800	196	604	-11	"238,306"
W06000024	Merthyr Tydfil	"59,324"	735	619	116	"1,594"	"1,436"	158	271	78	193	19	"59,810"
W06000018	Caerphilly	"180,164"	"2,091"	"1,758"	333	"4,636"	"4,782"	-146	186	87	99	12	"180,462"
W06000019	Blaenau Gwent	"69,544"	727	784	-57	"1,923"	"1,857"	66	127	56	71	4	"69,628"
W06000020	Torfaen	"91,836"	"1,028"	959	69	"2,532"	"2,449"	83	105	50	55	9	"92,052"
W06000021	Monmouthshire	"92,476"	752	943	-191	"4,549"	"4,096"	453	234	178	56	49	"92,843"
W06000022	Newport	"147,769"	"1,938"	"1,505"	433	"5,692"	"5,421"	271	"1,096"	466	630	45	"149,148"
S92000003	SCOTLAND	"5,373,000"	"55,256"	"56,077"	-821	"46,305"	"37,512"	"8,793"	"40,400"	"17,500"	"22,900"	828	"5,404,700"
S12000033	Aberdeen City	"230,350"	"2,556"	"2,116"	440	"8,148"	"11,591"	"-3,443"	"4,157"	"1,683"	"2,474"	19	"229,840"
S12000034	Aberdeenshire	"261,960"	"2,910"	"2,399"	511	"7,179"	"7,849"	-670	978	662	316	73	"262,190"
S12000041	Angus	"116,900"	"1,039"	"1,379"	-340	"3,565"	"3,570"	-5	346	273	73	-108	"116,520"
S12000035	Argyll and Bute	"86,890"	702	"1,093"	-391	"3,759"	"3,563"	196	351	313	38	397	"87,130"
S12000036	City of Edinburgh	"498,810"	"5,286"	"4,318"	968	"21,920"	"21,052"	868	"10,467"	"3,676"	"6,791"	-267	"507,170"
S12000005	Clackmannanshire	"51,360"	535	551	-16	"1,600"	"1,651"	-51	157	94	63	-6	"51,350"
S12000006	Dumfries and Galloway	"149,670"	"1,292"	"1,833"	-541	"3,544"	"3,162"	382	340	328	12	-3	"149,520"
S12000042	Dundee City	"148,210"	"1,541"	"1,696"	-155	"5,433"	"6,058"	-625	"1,439"	637	802	38	"148,270"
S12000008	East Ayrshire	"122,060"	"1,313"	"1,329"	-16	"3,272"	"3,083"	189	114	152	-38	5	"122,200"
S12000045	East Dunbartonshire	"106,960"	968	"1,097"	-129	"4,010"	"3,354"	656	186	136	50	3	"107,540"
S12000010	East Lothian	"103,050"	"1,090"	"1,027"	63	"3,550"	"2,879"	671	455	166	289	17	"104,090"
S12000011	East Renfrewshire	"92,940"	891	848	43	"3,897"	"3,129"	768	179	128	51	8	"93,810"
S12000014	Falkirk	"158,460"	"1,595"	"1,642"	-47	"4,166"	"3,381"	785	383	228	155	27	"159,380"
S12000015	Fife	"368,080"	"3,733"	"3,970"	-237	"9,353"	"8,787"	566	"2,051"	"1,009"	"1,042"	879	"370,330"
S12000046	Glasgow City	"606,340"	"7,041"	"6,262"	779	"23,504"	"23,476"	28	"11,462"	"3,527"	"7,935"	-12	"615,070"
S12000017	Highland	"234,110"	"2,242"	"2,472"	-230	"6,717"	"5,870"	847	920	571	349	-306	"234,770"
S12000018	Inverclyde	"79,500"	688	985	-297	"1,399"	"1,494"	-95	131	92	39	13	"79,160"
S12000019	Midlothian	"87,390"	"1,084"	835	249	"3,424"	"2,501"	923	207	122	85	-37	"88,610"
S12000020	Moray	"95,510"	966	"1,014"	-48	"3,242"	"2,769"	473	321	241	80	55	"96,070"
S12000013	Na h-Eileanan Siar	"27,070"	229	336	-107	765	851	-86	72	53	19	4	"26,900"
S12000021	North Ayrshire	"136,130"	"1,298"	"1,613"	-315	"3,558"	"3,453"	105	184	224	-40	10	"135,890"
S12000044	North Lanarkshire	"338,260"	"3,701"	"3,551"	150	"7,326"	"6,610"	716	735	469	266	-2	"339,390"
S12000023	Orkney Islands	"21,670"	166	218	-52	806	586	220	52	49	3	9	"21,850"
S12000024	Perth and Kinross	"149,930"	"1,338"	"1,621"	-283	"5,391"	"4,749"	642	938	518	420	-29	"150,680"
S12000038	Renfrewshire	"174,560"	"1,756"	"2,000"	-244	"5,358"	"4,256"	"1,102"	804	292	512	0	"175,930"
S12000026	Scottish Borders	"114,030"	"1,060"	"1,259"	-199	"4,079"	"3,392"	687	315	312	3	9	"114,530"
S12000027	Shetland Islands	"23,200"	255	251	4	585	639	-54	91	52	39	11	"23,200"
