"Anxiety1 by Health and Well-being Boards, April 2012 to March 2015",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Per cent in each category on 11 point scale2:,,,,Average (mean) rating,Confidence limits (95%),,,,,,,,,,,,,,,,
E10000030,Surrey,36.16,27.26,17.34,19.24,2.96,2.71,34.23,38.08,3.32,25.49,29.04,4.33,15.86,18.81,4.23,17.64,20.83,1.85,2.85,3.07,"3,050",
E10000032,West Sussex,38.84,23.86,17.23,20.07,2.93,3.00,36.55,41.12,4.33,21.84,25.89,5.20,15.47,18.99,4.79,18.19,21.96,2.28,2.80,3.06,"2,240",
,,,,,,,,,,,,,,,,,,,,,,,
E12000009,South West,,,,,,,,,,,,,,,,,,,,,,
E06000022,Bath and North East Somerset,34.68,26.39,17.59,21.34,3.09,4.06,31.91,37.44,4.87,23.87,28.92,5.69,15.62,19.55,5.43,19.07,23.62,2.62,2.94,3.25,"1,630",
*,Bournemouth & Poole,38.16,28.54,15.96,17.34,2.82,2.78,36.08,40.24,3.34,26.67,30.40,4.78,14.47,17.46,4.33,15.87,18.82,1.87,2.72,2.92,"3,150",
E06000023,City of Bristol,33.92,25.74,18.95,21.38,3.15,4.27,31.08,36.77,5.47,22.98,28.51,6.79,16.42,21.48,7.60,18.19,24.58,3.16,2.96,3.35,"1,350",
E06000052,Cornwall,41.58,20.21,17.18,21.03,2.93,3.01,39.12,44.03,4.92,18.26,22.17,5.63,15.28,19.08,4.91,19.00,23.06,2.47,2.79,3.07,"1,890",
E06000024,North Somerset,38.78,30.15,14.79,16.27,2.73,3.85,35.85,41.71,4.53,27.47,32.84,6.68,12.85,16.74,6.77,14.11,18.44,2.93,2.57,2.88,"1,330",
E06000026,Plymouth,41.48,21.48,14.88,22.16,2.97,3.29,38.80,44.16,5.44,19.18,23.77,5.90,13.16,16.61,5.07,19.96,24.37,2.72,2.82,3.13,"1,890",
E06000025,South Gloucestershire,39.72,24.86,16.28,19.15,2.85,3.71,36.83,42.62,5.48,22.18,27.53,6.97,14.05,18.50,6.64,16.65,21.64,2.95,2.68,3.01,"1,260",
E06000030,Swindon,40.65,21.97,17.98,19.40,2.92,3.59,37.79,43.52,5.85,19.44,24.50,6.62,15.64,20.31,5.99,17.12,21.68,2.89,2.75,3.08,"1,410",
E06000027,Torbay,42.36,21.29,16.05,20.31,2.87,3.01,39.86,44.86,5.14,19.14,23.44,5.96,14.17,17.93,5.20,18.24,22.38,2.60,2.72,3.01,"1,710",
E06000054,Wiltshire,40.68,22.89,15.86,20.57,2.90,3.29,38.05,43.31,4.90,20.68,25.09,5.55,14.13,17.58,5.07,18.53,22.62,2.61,2.75,3.05,"1,840",
E10000008,Devon,38.55,25.97,16.68,18.80,2.85,2.94,36.33,40.78,4.18,23.84,28.10,5.33,14.93,18.43,5.14,16.90,20.69,2.24,2.72,2.97,"2,140",
E10000009,Dorset,42.57,24.82,14.72,17.89,2.68,2.95,40.11,45.03,4.33,22.71,26.93,5.96,13.00,16.44,5.65,15.91,19.88,2.63,2.54,2.82,"1,830",
E10000013,Gloucestershire,39.99,22.63,18.00,19.39,2.93,3.31,37.39,42.58,5.06,20.38,24.87,5.66,16.00,20.00,5.22,17.40,21.38,2.50,2.78,3.07,"1,760",
E10000027,Somerset,37.09,27.41,17.10,18.40,2.94,3.63,34.45,39.73,4.21,25.15,29.68,5.85,15.14,19.07,5.55,16.39,20.40,2.49,2.79,3.08,"1,660",
,,,,,,,,,,,,,,,,,,,,,,,
"1 Question: Overall, how anxious did you feel yesterday?  Where 0 is 'not at all anxious' and 10 is 'completely anxious'.",,,,,,,,,,,,,,,,,,,,,,,
2 Estimates may not add to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,
"3 Comparisons between areas must be done so with caution as these estimates are provided from Annual Population Survey, a sample survey. As such confidence intervals are produced to present the sampling variability. ",,,,,,,,,,,,,,,,,,,,,,,
* There is no single geography code for these combined areas.,,,,,,,,,,,,,,,,,,,,,,,
"x Data has been suppressed as the CV> 20% or unavailable, or the sample size is insufficient.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"The colour coding reflects an estimate's co-efficient of variation (CV), which indicates the quality of a figure; the smaller the CV value, the higher the quality. ",,,,,,,Key ,,,,,,,,,,,,,,,,
,,,,,,,cv <= 5% ,,,Estimate is precise ,,,,,,,,,,,,,
,,,,,,,cv > 5% and <= 10% ,,,Estimate is reasonably precise,,,,,,,,,,,,,
"Source: April 2012 to March 2015, Annual Population Survey Personal Well-being 3-year National Statistics dataset, ONS. For more information on the 3-year dataset please see the user guide.  ",,,,,,,cv > 10% and <= 20% ,,,Estimate is considered acceptable. ,,,,,,,,,,,,,
,,,,,,,cv > 20% or unavailable ,,,Estimate is not reliable ,,,,,,,,,,,,,
http://www.ons.gov.uk/ons/guide-method/method-quality/specific/social-and-welfare-methodology/subjective-wellbeing-survey-user-guide/index.html,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Main table contents,,,,,,,,,,,,,,,,,,,,,,,
