OrganisationID,OrganisationCode,OrganisationType,SubType,Sector,OrganisationStatus,IsPimsManaged,OrganisationName,Address1,Address2,Address3,City,County,Postcode,Latitude,Longitude,ParentODSCode,ParentName
40195,RBS25,Hospital,Hospital,NHS Sector,Visible,FALSE,Alder Hey Children's NHS Foundation Trust,Alder Hey Hospital,Eaton Road,West Derby,Liverpool,Merseyside,L12 2AP,53.4212532,-2.897781372,RBS,Alder Hey Children's NHS Foundation Trust
40199,RBT20,Hospital,Hospital,NHS Sector,Visible,TRUE,Leighton Hospital,Leighton Hospital,Middlewich Road,,Crewe,Cheshire,CW1 4QJ,53.11769104,-2.475848436,RBT,Mid Cheshire Hospitals NHS Foundation Trust
40200,RBT21,Hospital,Hospital,NHS Sector,Visible,TRUE,Victoria Infirmary (Northwich),Winnington Hill,Winnington Hill,,Northwich,Cheshire,CW8 1AW,53.26195908,-2.519800186,RBT,Mid Cheshire Hospitals NHS Foundation Trust
40204,RBV01,Hospital,UNKNOWN,NHS Sector,Visible,TRUE,The Christie,550 Wilmslow Road,Withington,,Manchester,Greater Manchester,M20 4BX,53.42975235,-2.230034828,RBV,The Christie NHS Foundation Trust
40208,RBZ12,Hospital,Hospital,NHS Sector,Visible,TRUE,North Devon District Hospital,Raleigh Park,,,Barnstaple,Devon,EX31 4JB,51.09220886,-4.051119328,RBZ,Northern Devon Healthcare NHS Trust
40209,RBZ79,Hospital,Hospital,NHS Sector,Visible,TRUE,Exeter Community Hospital,Hospital Lane,,Whipton,Exeter,Devon,EX1 3RB,50.73098373,-3.484126568,RBZ,Northern Devon Healthcare NHS Trust
40210,RBZ80,Hospital,Hospital,NHS Sector,Visible,TRUE,Honiton Hospital,Marlpits Road,,,Honiton,,EX14 2DE,50.79493332,-3.186563015,RBZ,Northern Devon Healthcare NHS Trust
40211,RBZ81,Hospital,Hospital,NHS Sector,Visible,TRUE,Ottery St Mary Hospital,Keegan Close,,,Ottery St Mary,Devon,EX11 1DN,50.75011826,-3.291560888,RBZ,Northern Devon Healthcare NHS Trust
40212,RBZ82,Hospital,Hospital,NHS Sector,Visible,TRUE,Axminster Community Hospital,Chard Road,,,Axminster,Devon,EX13 5DU,50.7838974,-2.996254683,RBZ,Northern Devon Healthcare NHS Trust
40213,RBZ83,Hospital,Hospital,NHS Sector,Visible,TRUE,Sidmouth Hospital,All Saints Road,,,Sidmouth,Devon,EX10 8EN,50.68155289,-3.238833189,RBZ,Northern Devon Healthcare NHS Trust
40214,RBZ84,Hospital,Hospital,NHS Sector,Visible,TRUE,Exmouth Hospital,Claremont Grove,,,Exmouth,Devon,EX8 2JN,50.62055969,-3.401594877,RBZ,Northern Devon Healthcare NHS Trust
40215,RBZ85,Hospital,Hospital,NHS Sector,Visible,TRUE,Budleigh Salterton Hospital,East Budleigh Road,,,Budleigh Salterton,,EX9 6HF,50.63159561,-3.320505857,RBZ,Northern Devon Healthcare NHS Trust
40216,RBZ86,Hospital,Hospital,NHS Sector,Visible,TRUE,Seaton Hospital,,Valley View Road,,Seaton,Devon,EX12 2UU,50.71180725,-3.071492434,RBZ,Northern Devon Healthcare NHS Trust
40217,RBZ87,Hospital,Hospital,NHS Sector,Visible,TRUE,Okehampton Hospital,Cavell Way,,,Okehampton,Devon,EX20 1PN,50.74191666,-3.99732995,RBZ,Northern Devon Healthcare NHS Trust
40218,RBZ88,Hospital,Hospital,NHS Sector,Visible,TRUE,Crediton Hospital,Western Road,,,Crediton,Devon,EX17 3NH,50.79185867,-3.67278862,RBZ,Northern Devon Healthcare NHS Trust
40219,RBZ89,Hospital,Hospital,NHS Sector,Visible,TRUE,Moretonhampstead Hospital,Ford Street,,,Moretonhampstead,Devon,TQ13 8LN,50.66150665,-3.76603651,RBZ,Northern Devon Healthcare NHS Trust
40220,RBZ91,Hospital,Hospital,NHS Sector,Visible,TRUE,Ilfracombe Tyrrell Hospital,,St. Brannocks Park Road,,Ilfracombe,Devon,EX34 8JF,51.20452881,-4.124393463,RBZ,Northern Devon Healthcare NHS Trust
40221,RBZ92,Hospital,Hospital,NHS Sector,Visible,TRUE,Holsworthy Hospital,Dobles Lane,,,Holsworthy,Devon,EX22 6JQ,50.81843948,-4.349966049,RBZ,Northern Devon Healthcare NHS Trust
40222,RBZ93,Hospital,Hospital,NHS Sector,Visible,TRUE,Tiverton and District Hospital,Kennedy Way,,,Tiverton,Devon,EX16 6NT,50.90948105,-3.492941141,RBZ,Northern Devon Healthcare NHS Trust
40223,RBZ95,Hospital,Hospital,NHS Sector,Visible,TRUE,Bideford Hospital,,Abbotsham Road,,Bideford,Devon,EX39 3AG,51.01794434,-4.212480545,RBZ,Northern Devon Healthcare NHS Trust
40224,RBZ98,Hospital,Hospital,NHS Sector,Visible,TRUE,Torrington Hospital,Calf Street,,,Torrington,Devon,EX38 7BJ,50.95484161,-4.13696146,RBZ,Northern Devon Healthcare NHS Trust
40225,RBZ99,Hospital,Hospital,NHS Sector,Visible,TRUE,South Molton Hospital,Widgery Drive,,,South Molton,Devon,EX36 4DP,51.01708221,-3.839225292,RBZ,Northern Devon Healthcare NHS Trust
40227,RC110,Hospital,Hospital,NHS Sector,Visible,TRUE,Bedford Hospital South Wing,South Wing,Kempston Road,,Bedford,Bedfordshire,MK42 9DJ,52.12884903,-0.47171548,RC1,Bedford Hospital NHS Trust
40233,RC971,Hospital,Hospital,NHS Sector,Visible,TRUE,Luton and Dunstable Hospital,The L&D Hospital NHS Foundation Trust,Lewsey Road,,Luton,Bedfordshire,LU4 0DZ,51.89417648,-0.474254429,RC9,Luton and Dunstable University Hospital NHS Foundation Trust
40236,RCB07,Hospital,Hospital,NHS Sector,Visible,TRUE,The New Selby War Memorial Hospital,Doncaster Road,,,Selby,North Yorkshire,YO8 9BX,53.77746964,-1.078487396,RCB,York Teaching Hospital NHS Foundation Trust
40238,RCB55,Hospital,Hospital,NHS Sector,Visible,TRUE,The York Hospital,The York Hospital,Wigginton Road,,York,North Yorkshire,YO31 8HE,53.96904373,-1.084100008,RCB,York Teaching Hospital NHS Foundation Trust
40242,RCBL8,Hospital,Hospital,NHS Sector,Visible,TRUE,Malton  Norton & District Hospital,,Middlecave Road,,Malton,North Yorkshire,YO17 7NG,54.13714981,-0.806534648,RCB,York Teaching Hospital NHS Foundation Trust
40245,RCBP9,Hospital,Hospital,NHS Sector,Visible,TRUE,White Cross Rehabilitation Hospital,White Cross Road,Wilson Drive,Huntington Road,York,North Yorkshire,YO31 8JR,53.97165298,-1.076465845,RCB,York Teaching Hospital NHS Foundation Trust
40248,RCBTV,Hospital,Hospital,NHS Sector,Visible,TRUE,St Helens Rehabilitation Hospital,1a Nelsons Lane,,,York,North Yorkshire,YO24 1HD,53.94363022,-1.106458187,RCB,York Teaching Hospital NHS Foundation Trust
40249,RCBWH,Hospital,Hospital,NHS Sector,Visible,TRUE,Whitby Hospital,,Springhill,,,,YO21 1EE,54.48445892,-0.615670383,RCB,York Teaching Hospital NHS Foundation Trust
40261,RCD01,Hospital,Hospital,NHS Sector,Visible,TRUE,Harrogate District Hospital,Lancaster Park Road,,,Harrogate,North Yorkshire,HG2 7SX,53.99380112,-1.517817736,RCD,Harrogate and District NHS Foundation Trust
40262,RCD02,Hospital,Hospital,NHS Sector,Visible,TRUE,Ripon and District Community Hospital,Firby Lane,,,Ripon,North Yorkshire,HG4 2PR,54.13542175,-1.527179718,RCD,Harrogate and District NHS Foundation Trust
40270,RCF22,Hospital,Hospital,NHS Sector,Visible,TRUE,Airedale General Hospital,Skipton Road,Steeton,,Keighley,West Yorkshire,BD20 6TD,53.89801788,-1.962679625,RCF,Airedale NHS Foundation Trust
40274,RCF30,Hospital,Hospital,NHS Sector,Visible,TRUE,Castleberg Hospital,Raines Road,Giggleswick,,Settle,North Yorkshire,BD24 0BN,54.06954956,-2.292192698,RCF,Airedale NHS Foundation Trust
40275,RCF31,Hospital,Hospital,NHS Sector,Visible,TRUE,Skipton General Hospital,Keighley Road,,,Skipton,North Yorkshire,BD23 2RJ,53.95569611,-2.018997669,RCF,Airedale NHS Foundation Trust
40282,RCUEF,Hospital,Hospital,NHS Sector,Visible,FALSE,Sheffield Children's Hospital,Western Bank,,,Sheffield,South Yorkshire,S10 2TH,53.38055038,-1.491215706,RCU,Sheffield Children's NHS Foundation Trust
40289,RCX70,Hospital,Hospital,NHS Sector,Visible,TRUE,The Queen Elizabeth Hospital,Gayton Road,,,King's Lynn,Norfolk,PE30 4ET,52.7568779,0.443581134,RCX,The Queen Elizabeth Hospital  King's Lynn. NHS Foundation Trust
40303,RD129,Hospital,Hospital,NHS Sector,Visible,TRUE,Paulton Hospital,Salisbury Road,Paulton,,Bristol,Avon,BS39 7SB,51.29868698,-2.493267059,RD1,Royal United Hospitals Bath NHS Foundation Trust
40304,RD130,Hospital,Hospital,NHS Sector,Visible,TRUE,Royal United Hospital,Combe Park,,,Bath,Avon,BA1 3NG,51.39276886,-2.390552044,RD1,Royal United Hospitals Bath NHS Foundation Trust
40308,RD304,Hospital,Hospital,NHS Sector,Visible,TRUE,Poole Hospital,Longfleet Road,,,Poole,Dorset,BH15 2JB,50.72199249,-1.973102927,RD3,Poole Hospital NHS Foundation Trust
40330,RD816,Hospital,Hospital,NHS Sector,Visible,TRUE,Milton Keynes Hospital,Standing Way,Eaglestone,,Milton Keynes,Buckinghamshire,MK6 5LD,52.02638245,-0.735780835,RD8,Milton Keynes Hospital NHS Foundation Trust
40337,RDDH0,Hospital,Hospital,NHS Sector,Visible,TRUE,Basildon University Hospital,Nethermayne,,,Basildon,Essex,SS16 5NL,51.55768585,0.450571656,RDD,Basildon and Thurrock University Hospitals NHS Foundation Trust
40338,RDDH1,Hospital,Hospital,NHS Sector,Visible,TRUE,Orsett Hospital,Rowley Road,Orsett,,Grays,Essex,RM16 3EU,51.51003265,0.365863681,RDD,Basildon and Thurrock University Hospitals NHS Foundation Trust
40342,RDEE4,Hospital,Hospital,NHS Sector,Visible,TRUE,Colchester General Hospital,Turner Road,,,Colchester,Essex,CO4 5JL,51.91032028,0.899294317,RDE,Colchester Hospital University NHS Foundation Trust
40343,RDEEB,Hospital,Hospital,NHS Sector,Visible,TRUE,Essex County Hospital,Lexden Road,,,Colchester,Essex,CO3 3NB,51.8870697,0.889149308,RDE,Colchester Hospital University NHS Foundation Trust
40354,RDR2V,Hospital,Hospital,NHS Sector,Visible,TRUE,Bognor Regis War Memorial Hospital,Bognor Regis War Memorial Hospital,Shripney Road,,Bognor Regis,,PO22 9PP,50.79335785,-0.675404549,RDR,Sussex Community NHS Trust
40395,RDU01,Hospital,Hospital,NHS Sector,Visible,TRUE,Frimley Park Hospital,Portsmouth Road,,,Camberley,Surrey,GU16 7UJ,51.31967163,-0.74154073,RDU,Frimley Health NHS Foundation Trust
40396,RDU02,Hospital,Hospital,NHS Sector,Visible,TRUE,Farnham Hospital Outpatients Department,Hale Road,,,Farnham,Surrey,GU9 9QL,51.22057343,-0.784696996,RDU,Frimley Health NHS Foundation Trust
40411,RDY10,Hospital,Mental Health Hospital,NHS Sector,Visible,TRUE,St Ann's Hospital,,69 Haven Road,Canford Cliffs,Poole,Dorset,BH13 7LN,50.69905853,-1.928202391,RDY,Dorset Healthcare University NHS Foundation Trust
40413,RDYFX,Hospital,Hospital,NHS Sector,Visible,TRUE,Nightingale House/Court/Florence House,Alumhurst Road,49 Alumhurst Road,,Bournemouth,Dorset,BH4 8EW,50.71672821,-1.904407144,RDY,Dorset Healthcare University NHS Foundation Trust
40415,RDY22,Hospital,Mental Health Hospital,NHS Sector,Visible,TRUE,Alderney Hospital,Ringwood Road,Parkstone,,Poole,Dorset,BH12 4NB,50.7486763,-1.940075755,RDY,Dorset Healthcare University NHS Foundation Trust
40421,RDY32,Hospital,Hospital,NHS Sector,Visible,TRUE,Kimmeridge Court,,69 Haven Road,Canford Cliffs,Poole,,BH13 7LN,50.69905853,-1.928202391,RDY,Dorset Healthcare University NHS Foundation Trust
40423,RDY38,Hospital,Hospital,NHS Sector,Visible,TRUE,Fairmile House,,Jumpers Road,,Christchurch,Dorset,BH23 2JT,50.74319458,-1.792006493,RDY,Dorset Healthcare University NHS Foundation Trust
40425,RDYMR,Hospital,Mental Health Hospital,NHS Sector,Visible,TRUE,Pebble Lodge,49 Alumhurst Road,Westbourne,,Bournemouth,Dorset,BH4 8EW,50.71672821,-1.904407144,RDY,Dorset Healthcare University NHS Foundation Trust
40434,RDYCV,Hospital,Hospital,NHS Sector,Visible,TRUE,Oakcroft,,42 Gravel Hill,,Wimborne,Dorset,BH21 1RR,50.78026581,-1.97830379,RDY,Dorset Healthcare University NHS Foundation Trust
40437,RDYEF,Hospital,Hospital,NHS Sector,Visible,TRUE,Weymouth Community Hospital,,Melcombe Avenue,,Weymouth,Dorset,DT4 7TB,50.62105942,-2.451040506,RDY,Dorset Healthcare University NHS Foundation Trust
40438,RDYEG,Hospital,Hospital,NHS Sector,Visible,TRUE,Westhaven Hospital,,Radipole Lane,,Weymouth,Dorset,DT4 0QE,50.61491776,-2.479787111,RDY,Dorset Healthcare University NHS Foundation Trust
40439,RDYEH,Hospital,Hospital,NHS Sector,Visible,TRUE,Portland Hospital,,Castle Road,Castletown,Portland,Dorset,DT5 1AX,50.56587601,-2.44480896,RDY,Dorset Healthcare University NHS Foundation Trust
40440,RDYEJ,Hospital,Hospital,NHS Sector,Visible,TRUE,Bridport Community Hospital,,Hospital Lane,North Allington,Bridport,Dorset,DT6 5DR,50.74161148,-2.769914389,RDY,Dorset Healthcare University NHS Foundation Trust
40441,RDYER,Hospital,Hospital,NHS Sector,Visible,TRUE,Blandford Community Hospital,,Milldown Road,,Blandford Forum,Dorset,DT11 7DD,50.86331558,-2.16815567,RDY,Dorset Healthcare University NHS Foundation Trust
40442,RDYEY,Hospital,Hospital,NHS Sector,Visible,TRUE,Westminster Memorial Hospital,,Abbey Walk,,Shaftesbury,Dorset,SP7 8BD,51.00472641,-2.200136185,RDY,Dorset Healthcare University NHS Foundation Trust
40443,RDYFC,Hospital,Hospital,NHS Sector,Visible,TRUE,Yeatman Hospital,,Hospital Lane,,Sherborne,Dorset,DT9 3JU,50.94966888,-2.519826412,RDY,Dorset Healthcare University NHS Foundation Trust
40444,RDYFD,Hospital,Hospital,NHS Sector,Visible,TRUE,Wareham Community Hospital,,Streche Road,,Wareham,Dorset,BH20 4QQ,50.6870079,-2.116690397,RDY,Dorset Healthcare University NHS Foundation Trust
40445,RDYFE,Hospital,Hospital,NHS Sector,Visible,TRUE,Victoria Hospital,Victoria Hospital,Victoria Road,,Wimborne,Dorset,BH21 1ER,50.80220032,-1.995904088,RDY,Dorset Healthcare University NHS Foundation Trust
40446,RDYFF,Hospital,Hospital,NHS Sector,Visible,TRUE,Swanage Community Hospital,,Queens Road,,Swanage,Dorset,BH19 2ES,50.60551453,-1.961199522,RDY,Dorset Healthcare University NHS Foundation Trust
40447,RDYFG,Hospital,Hospital,NHS Sector,Visible,TRUE,St Leonards Community Hospital (Dorset),,Ringwood Road,,Ringwood,Dorset,BH24 2RR,50.81795502,-1.856022358,RDY,Dorset Healthcare University NHS Foundation Trust
40450,RDZ05,Hospital,Hospital,NHS Sector,Visible,FALSE,Christchurch Hospital,Fairmile Road,,,Christchurch,Dorset,BH23 2JX,50.74468231,-1.790242434,RDZ,The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust
40451,RDZ20,Hospital,Hospital,NHS Sector,Visible,TRUE,Royal Bournemouth General Hospital,Castle Lane East,,,Bournemouth,Dorset,BH7 7DW,50.74748611,-1.820491433,RDZ,The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust
40457,RE906,Hospital,Hospital,NHS Sector,Visible,TRUE,Elmville Unit at Monkton Hall,Monkton Village,Monkton Hall Hospital,,Jarrow,Tyne and Wear,NE32 5NN,54.96663666,-1.501275659,RE9,South Tyneside NHS Foundation Trust
40466,RE9GA,Hospital,Hospital,NHS Sector,Visible,TRUE,South Tyneside District Hospital,Harton Lane,,,South Shields,Tyne and Wear,NE34 0PL,54.97187424,-1.429914117,RE9,South Tyneside NHS Foundation Trust
40467,RE9GC,Hospital,Hospital,NHS Sector,Visible,TRUE,Primrose Hill Hospital,Primrose Terrace,,,Jarrow,Tyne and Wear,NE32 5HA,54.967659,-1.485689998,RE9,South Tyneside NHS Foundation Trust
40468,RE9GF,Hospital,Hospital,NHS Sector,Visible,TRUE,Palmer Community Hospital,Wear Street,,,Jarrow,Tyne and Wear,NE32 3UX,54.98078156,-1.492787957,RE9,South Tyneside NHS Foundation Trust
40470,REF01,Hospital,Hospital,NHS Sector,Visible,TRUE,West Cornwall Hospital (Penzance),St Clare Street,,,Penzance,Cornwall,TR18 2PF,50.1220665,-5.542964458,REF,Royal Cornwall Hospitals NHS Trust
40471,REF02,Hospital,Hospital,NHS Sector,Visible,TRUE,St Michael's Hospital,Trelissick Road,,,Hayle,Cornwall,TR27 4JA,50.18037033,-5.424397469,REF,Royal Cornwall Hospitals NHS Trust
40472,REF12,Hospital,Hospital,NHS Sector,Visible,TRUE,Royal Cornwall Hospital (Treliske),Treliske,,,Truro,Cornwall,TR1 3LQ,50.26656723,-5.094250202,REF,Royal Cornwall Hospitals NHS Trust
40480,REM20,Hospital,Hospital,NHS Sector,Visible,TRUE,Walton Hospital,Rice Lane,Prescot Street,,Liverpool,Merseyside,L9 1AE,53.45115662,-2.966852427,REM,Aintree University Hospital NHS Foundation Trust
40481,REM21,Hospital,Hospital,NHS Sector,Visible,TRUE,Aintree University Hospital,Aintree University Hospital,Longmoor Lane,,Liverpool,Merseyside,L9 7AL,53.46792221,-2.935116291,REM,Aintree University Hospital NHS Foundation Trust
40504,REP01,Hospital,UNKNOWN,NHS Sector,Visible,TRUE,Liverpool Women's NHS Foundation Trust,,Crown Street,,Liverpool,,L8 7SS,53.39863968,-2.959615231,REP,Liverpool Women's NHS Foundation Trust
40560,RET20,Hospital,Hospital,NHS Sector,Visible,TRUE,The Walton Centre NHS Foundation Trust,Lower Lane,Fazakerley,,Liverpool,Merseyside,L9 7LJ,53.46649933,-2.930912256,RET,The Walton Centre NHS Foundation Trust
40563,RF4DG,Hospital,Hospital,NHS Sector,Visible,TRUE,King George Hospital,,Barley Lane,,Ilford,Essex,IG3 8YB,51.58095551,0.110668167,RF4,Barking  Havering and Redbridge University Hospitals NHS Trust
40568,RF4QH,Hospital,Hospital,NHS Sector,Visible,TRUE,Queen's Hospital,Rom Valley Way,,,Romford,Essex,RM7 0AG,51.56942749,0.180405304,RF4,Barking  Havering and Redbridge University Hospitals NHS Trust
40570,RFFAA,Hospital,Hospital,NHS Sector,Visible,TRUE,Barnsley Hospital,,,Pogmoor Road,Barnsley,Yorkshire,S75 2EP,53.55831528,-1.499563098,RFF,Barnsley Hospital NHS Foundation Trust
40573,RFRPA,Hospital,Hospital,NHS Sector,Visible,TRUE,Rotherham Hospital,,Moorgate Road,,Rotherham,,S60 2UD,53.41441345,-1.342557907,RFR,The Rotherham NHS Foundation Trust
40583,RFSDA,Hospital,Hospital,NHS Sector,Visible,TRUE,Chesterfield Royal Hospital,Calow,Top Road,,Chesterfield,Derbyshire,S44 5BL,53.23622513,-1.400066376,RFS,Chesterfield Royal Hospital NHS Foundation Trust
40615,RFW01,Hospital,Hospital,NHS Sector,Visible,TRUE,West Middlesex University Hospital,West Middlesex University Hospital,Twickenham Road,,Isleworth,Middlesex,TW7 6AF,51.47407913,-0.326175332,RFW,West Middlesex University Hospital NHS Trust
40646,RGD17,Hospital,Mental Health Hospital,NHS Sector,Visible,TRUE,St Mary's Hospital,Green Hill Road,,,Leeds,West Yorkshire,LS12 3QE,53.80089188,-1.611889362,RGD,Leeds and York Partnership NHS Foundation Trust
40648,RGDBL,Hospital,Hospital,NHS Sector,Visible,TRUE,Becklin Centre,Alma Street,,,Leeds,West Yorkshire,LS9 7BE,53.80533218,-1.524446011,RGD,Leeds and York Partnership NHS Foundation Trust
40650,RGM21,Hospital,Hospital,NHS Sector,Visible,TRUE,Papworth Hospital,Papworth Hospital,Papworth Everard,,Cambridge,Cambridgeshire,CB23 3RE,52.2486496,-0.115512893,RGM,Papworth Hospital NHS Foundation Trust
40652,RGN42,Hospital,Hospital,NHS Sector,Visible,TRUE,Peterborough District Hospital,Thorpe Road,n/a,,Peterborough,Cambridgeshire,PE3 6DA,52.57324219,-0.255439907,RGN,Peterborough and Stamford Hospitals NHS Foundation Trust
40654,RGN49,Hospital,Hospital,NHS Sector,Visible,TRUE,Stamford and Rutland Hospital,Ryhall Road,,,Stamford,Lincolnshire,PE9 1UA,52.65537262,-0.468735933,RGN,Peterborough and Stamford Hospitals NHS Foundation Trust
40655,RGN66,Hospital,Hospital,NHS Sector,Visible,TRUE,Edith Cavell Hospital,Bretton Gate,Bretton,,Peterborough,Cambridgeshire,PE3 9GZ,52.58545303,-0.28007859,RGN,Peterborough and Stamford Hospitals NHS Foundation Trust
40658,RGN80,Hospital,Hospital,NHS Sector,Visible,TRUE,Peterborough City Hospital,Edith Cavell Campus,Bretton Gate  Bretton,,Peterborough,Cambridgeshire,PE3 9GZ,52.58545303,-0.28007859,RGN,Peterborough and Stamford Hospitals NHS Foundation Trust
40661,RGP72,Hospital,Hospital,NHS Sector,Visible,TRUE,Lowestoft Hospital,Tennyson Road,,,Lowestoft,Suffolk,NR32 1PT,52.47982788,1.752568364,RGP,James Paget University Hospitals NHS Foundation Trust
40663,RGP75,Hospital,Hospital,NHS Sector,Visible,TRUE,James Paget University Hospital,Lowestoft Road,Gorleston,,Great Yarmouth,Norfolk,NR31 6LA,52.5616684,1.717994452,RGP,James Paget University Hospitals NHS Foundation Trust
40664,RGP77,Hospital,Hospital,NHS Sector,Visible,TRUE,Northgate Hospital,,Northgate Street,,Great Yarmouth,Norfolk,NR30 1BU,52.61761475,1.728590965,RGP,James Paget University Hospitals NHS Foundation Trust
40668,RGQ02,Hospital,Hospital,NHS Sector,Visible,TRUE,The Ipswich Hospital,Heath Road,...,,Ipswich,Suffolk,IP4 5PD,52.060009,1.196360588,RGQ,Ipswich Hospital NHS Trust
40715,RGR50,Hospital,Hospital,NHS Sector,Visible,TRUE,West Suffolk Hospital,Hardwick Lane,Hardwick Lane,,Bury St. Edmunds,Suffolk,IP33 2QZ,52.23166275,0.70919019,RGR,West Suffolk NHS Foundation Trust
40719,RGT01,Hospital,Hospital,NHS Sector,Visible,TRUE,Addenbrooke's,,Hills Road,,Cambridge,Cambridgeshire,CB2 0QQ,52.17374039,0.139129058,RGT,Cambridge University Hospitals NHS Foundation Trust
40720,RGT32,Hospital,Hospital,NHS Sector,Visible,TRUE,Rosie Hospital,,Robinson Way,,Cambridge,Cambridgeshire,CB2 0QQ,52.17374039,0.139129058,RGT,Cambridge University Hospitals NHS Foundation Trust
40721,RGT48,Hospital,Hospital,NHS Sector,Visible,TRUE,Newmarket Hospital,Exning Road,,,Newmarket,Suffolk,CB8 7JG,52.25089264,0.399993718,RGR,West Suffolk NHS Foundation Trust
40722,RGT49,Hospital,Hospital,NHS Sector,Visible,FALSE,Royston Hospital,London Road,,,Royston,Hertfordshire,SG8 9EN,52.04151154,-0.022356572,RGT,Cambridge University Hospitals NHS Foundation Trust
40723,RGT50,Hospital,Hospital,NHS Sector,Visible,FALSE,Saffron Walden Community Hospital,Radwinter Road,,,Saffron Walden,Essex,CB11 3HY,52.02355194,0.256421775,RGT,Cambridge University Hospitals NHS Foundation Trust
40757,RH587,Hospital,Mental Health Hospital,NHS Sector,Visible,TRUE,Chantry House Day Hospital,Frome Enterprise Resource Centre,Manor Road,,Frome,Somerset,BA11 4BS,51.22289276,-2.32712245,RH5,Somerset Partnership NHS Foundation Trust
40768,RH5F1,Hospital,Mental Health Hospital,NHS Sector,Visible,TRUE,Wellington Community Hospital,,Bulford,,,,TA21 8QQ,50.97683716,-3.227389336,RH5,Somerset Partnership NHS Foundation Trust
40769,RH5F2,Hospital,Mental Health Hospital,NHS Sector,Visible,TRUE,Chard  Community Hospital,,Crewkerne Road,,,,TA20 1NF,50.875,-2.952359438,RH5,Somerset Partnership NHS Foundation Trust
40771,RH5F5,Hospital,Mental Health Hospital,NHS Sector,Visible,TRUE,Minehead Community Hospital,,Luttrell Way,,,,TA24 6DF,51.19875717,-3.462842941,RH5,Somerset Partnership NHS Foundation Trust
40772,RH5F6,Hospital,Mental Health Hospital,NHS Sector,Visible,TRUE,Williton Community Hospital,,North Road,,,,TA4 4RA,51.16307068,-3.323557377,RH5,Somerset Partnership NHS Foundation Trust
40773,RH5F7,Hospital,Mental Health Hospital,NHS Sector,Visible,TRUE,Shepton Mallet Community Hospital,,Bucklers Way,Old Wells Road,Shepton Mallet,Somerset,BA4 4PG,51.19057846,-2.562471867,RH5,Somerset Partnership NHS Foundation Trust
40774,RH5F8,Hospital,Mental Health Hospital,NHS Sector,Visible,TRUE,West Mendip Community Hospital,,Old Wells Road,,,,BA6 8JD,51.16030502,-2.699014425,RH5,Somerset Partnership NHS Foundation Trust
40775,RH5F9,Hospital,Mental Health Hospital,NHS Sector,Visible,TRUE,Crewkerne Community Hospital,,Middle Path,,,,TA18 8BG,50.88012695,-2.797909498,RH5,Somerset Partnership NHS Foundation Trust
40776,RH5G1,Hospital,Mental Health Hospital,NHS Sector,Visible,TRUE,South Petherton Community Hospital,,Bernard Way,,,,TA13 5EF,50.95209503,-2.798842669,RH5,Somerset Partnership NHS Foundation Trust
40777,RH5G2,Hospital,Mental Health Hospital,NHS Sector,Visible,TRUE,Wincanton Community Hospital,,Dancing Lane,,,,BA9 9DQ,51.05875778,-2.418154716,RH5,Somerset Partnership NHS Foundation Trust
40778,RH5G3,Hospital,Mental Health Hospital,NHS Sector,Visible,TRUE,Dene Barton Community Hospital ,,Dene Road,,,,TA4 1DD,51.03761673,-3.182212591,RH5,Somerset Partnership NHS Foundation Trust
40779,RH5G5,Hospital,Mental Health Hospital,NHS Sector,Visible,TRUE,Frome Community Hospital ,,Enos Way,,,,BA11 2FH,51.23715973,-2.311266899,RH5,Somerset Partnership NHS Foundation Trust
40782,RH801,Hospital,Hospital,NHS Sector,Visible,TRUE,Royal Devon and Exeter Hospital (Wonford),Barrack Road,,,Exeter,Devon,EX2 5DW,50.71671677,-3.50666666,RH8,Royal Devon and Exeter NHS Foundation Trust
40783,RH802,Hospital,Hospital,NHS Sector,Visible,TRUE,Heavitree Hospital,Gladstone Road,,,Exeter,Devon,EX1 2ED,50.72440338,-3.513997078,RH8,Royal Devon and Exeter NHS Foundation Trust
40841,RHANN,Hospital,Mental Health Hospital,NHS Sector,Visible,TRUE,Lings Bar Hospital,,Beckside,,,,NG2 6PR,52.92269897,-1.100334406,RHA,Nottinghamshire Healthcare NHS Foundation Trust
40843,RHM01,Hospital,Hospital,NHS Sector,Visible,TRUE,Southampton General Hospital,,Tremona Road,,Southampton,Hampshire,SO16 6YD,50.93302155,-1.435089946,RHM,University Hospital Southampton NHS Foundation Trust
40847,RHM12,Hospital,Hospital,NHS Sector,Visible,TRUE,Princess Anne Hospital,,Coxford Road,,Southampton,Hampshire,SO16 5YA,50.93526077,-1.434849381,RHM,University Hospital Southampton NHS Foundation Trust
40857,RHQCC,Hospital,Hospital,NHS Sector,Visible,TRUE,Charles Clifford Dental Hospital,76 Wellesley Road,,,Sheffield,South Yorkshire,S10 2SZ,53.37974167,-1.493660688,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust
40860,RHQHH,Hospital,Hospital,NHS Sector,Visible,TRUE,Royal Hallamshire Hospital,Glossop Road,,,Sheffield,South Yorkshire,S10 2JF,53.37847519,-1.493450284,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust
