,,,,,,,,,,,,,,,,,,,,,,,,
,RXR,North Of England Commissioning Region,East Lancashire Hospitals NHS Trust,"9,307",0,"6,600","15,907",782,0,106,888,91.6%,94.4%,"3,209",0,67,"3,276","1,492","4,768",180,0,,,
,NNF28,North Of England Commissioning Region,Freedom Centre,0,0,337,337,0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RR7,North Of England Commissioning Region,Gateshead Health NHS Foundation Trust,"7,177",0,"2,149","9,326",731,0,4,735,89.8%,92.1%,"1,672",0,0,"1,672",344,"2,016",96,0,,,
,RCD,North Of England Commissioning Region,Harrogate And District NHS Foundation Trust,"3,673",0,551,"4,224",196,0,0,196,94.7%,95.4%,929,0,0,929,601,"1,530",6,0,,,
,RWA,North Of England Commissioning Region,Hull And East Yorkshire Hospitals NHS Trust,"10,207",0,"1,156","11,363","2,265",0,2,"2,267",77.8%,80.0%,"1,267",0,0,"1,267","3,078","4,345",674,0,,,
,RV9,North Of England Commissioning Region,Humber NHS Foundation Trust,0,0,892,892,0,0,1,1,N/A,99.9%,0,0,0,0,0,0,0,0,,,
,RXN,North Of England Commissioning Region,Lancashire Teaching Hospitals NHS Foundation Trust,"10,754",0,0,"10,754",940,0,0,940,91.3%,91.3%,"2,131",0,0,"2,131","1,981","4,112",212,0,,,
,Y01231,North Of England Commissioning Region,Lcd-Leeds-Ooh,0,0,"2,269","2,269",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RR8,North Of England Commissioning Region,Leeds Teaching Hospitals NHS Trust,"17,615",0,"1,756","19,371","1,510",0,0,"1,510",91.4%,92.2%,"6,356",0,0,"6,356","1,193","7,549",307,0,,,
,Y02875,North Of England Commissioning Region,Lindley House Health Centre,0,0,"3,620","3,620",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RY1,North Of England Commissioning Region,Liverpool Community Health NHS Trust,0,0,"2,501","2,501",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RBQ,North Of England Commissioning Region,Liverpool Heart And Chest Hospital NHS Foundation Trust,0,0,0,0,0,0,0,0,N/A,N/A,0,0,0,0,273,273,0,0,,,
,REP,North Of England Commissioning Region,Liverpool Women's NHS Foundation Trust,0,974,0,974,0,5,0,5,N/A,99.5%,0,92,0,92,27,119,0,0,,,
,Y01069,North Of England Commissioning Region,Local Care Direct Ooh,0,0,"3,048","3,048",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RW4,North Of England Commissioning Region,Mersey Care NHS Trust,0,0,0,0,0,0,0,0,N/A,N/A,0,0,0,0,233,233,0,0,,,
,RBT,North Of England Commissioning Region,Mid Cheshire Hospitals NHS Foundation Trust,"5,188",0,"1,945","7,133",305,0,0,305,94.1%,95.7%,"2,032",0,0,"2,032","1,121","3,153",0,0,,,
,RXF,North Of England Commissioning Region,Mid Yorkshire Hospitals NHS Trust,"18,997",0,0,"18,997","3,574",0,0,"3,574",81.2%,81.2%,"4,323",0,0,"4,323","1,204","5,527","1,815",6,,,
,RNL,North Of England Commissioning Region,North Cumbria University Hospitals NHS Trust,"7,144",0,0,"7,144","1,252",0,0,"1,252",82.5%,82.5%,"1,771",0,0,"1,771","1,007","2,778",292,1,,,
,RVW,North Of England Commissioning Region,North Tees And Hartlepool NHS Foundation Trust,"5,751",0,"1,373","7,124",504,0,2,506,91.2%,92.9%,"1,511",0,4,"1,515","2,292","3,807",11,0,,,
,NLO01,North Of England Commissioning Region,Northern Doctors Urgent Care [Nduc],0,0,"6,344","6,344",0,0,17,17,N/A,99.7%,0,0,0,0,0,0,0,0,,,
,RJL,North Of England Commissioning Region,Northern Lincolnshire And Goole NHS Foundation Trust,"10,624",0,"1,427","12,051",669,0,3,672,93.7%,94.4%,"2,506",0,0,"2,506",650,"3,156",94,0,,,
,RTF,North Of England Commissioning Region,Northumbria Healthcare NHS Foundation Trust,"13,347",0,"1,667","15,014",635,0,3,638,95.2%,95.8%,"3,577",0,0,"3,577",436,"4,013",0,0,,,
,RW6,North Of England Commissioning Region,Pennine Acute Hospitals NHS Trust,"22,209",0,"4,341","26,550","5,156",0,110,"5,266",76.8%,80.2%,"4,445",0,80,"4,525","1,718","6,243","1,323",1,,,
,RT2,North Of England Commissioning Region,Pennine Care NHS Foundation Trust,0,0,"5,585","5,585",0,0,3,3,N/A,99.9%,0,0,0,0,0,0,0,0,,,
,RQ6,North Of England Commissioning Region,Royal Liverpool And Broadgreen University Hospitals NHS Trust,"7,904","1,856","9,414","19,174","1,521",0,0,"1,521",80.8%,92.1%,"2,525",27,0,"2,552",776,"3,328",0,0,,,
,RM3,North Of England Commissioning Region,Salford Royal NHS Foundation Trust,"8,311",0,0,"8,311",652,0,0,652,92.2%,92.2%,"2,805",0,0,"2,805",239,"3,044",133,0,,,
,RCU,North Of England Commissioning Region,Sheffield Children's NHS Foundation Trust,"5,214",0,0,"5,214",264,0,0,264,94.9%,94.9%,708,0,0,708,514,"1,222",0,0,,,
,Y02565,North Of England Commissioning Region,Sheffield City GP Hc (WIC),0,0,"5,289","5,289",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RTR,North Of England Commissioning Region,South Tees Hospitals NHS Foundation Trust,"10,181",0,"5,636","15,817",678,0,0,678,93.3%,95.7%,"1,899",0,31,"1,930","2,108","4,038",188,0,,,
,RE9,North Of England Commissioning Region,South Tyneside NHS Foundation Trust,"5,076",0,967,"6,043",379,0,7,386,92.5%,93.6%,"1,199",0,0,"1,199",19,"1,218",111,0,,,
,RXG,North Of England Commissioning Region,South West Yorkshire Partnership NHS Foundation Trust,0,0,0,0,0,0,0,0,N/A,N/A,0,0,0,0,150,150,0,0,,,
,RVY,North Of England Commissioning Region,Southport And Ormskirk Hospital NHS Trust,"6,356",0,"3,504","9,860",847,0,0,847,86.7%,91.4%,"2,031",0,0,"2,031",112,"2,143",178,0,,,
,RBN,North Of England Commissioning Region,St Helens And Knowsley Hospitals NHS Trust,"8,662",0,"3,058","11,720","1,598",0,0,"1,598",81.6%,86.4%,"3,061",0,0,"3,061",913,"3,974",345,0,,,
,RWJ,North Of England Commissioning Region,Stockport NHS Foundation Trust,"7,811",0,0,"7,811","1,721",0,0,"1,721",78.0%,78.0%,"2,472",0,0,"2,472","1,059","3,531",457,0,,,
,RMP,North Of England Commissioning Region,Tameside Hospital NHS Foundation Trust,"7,071",0,0,"7,071","1,613",0,0,"1,613",77.2%,77.2%,"1,722",0,0,"1,722",444,"2,166",319,0,,,
,RBV,North Of England Commissioning Region,The Christie NHS Foundation Trust,0,0,0,0,0,0,0,0,N/A,N/A,0,0,0,0,365,365,0,0,,,
,RTD,North Of England Commissioning Region,The Newcastle Upon Tyne Hospitals NHS Foundation Trust,"10,976","1,641","4,025","16,642","1,202",11,0,"1,213",89.0%,92.7%,"2,447",33,2,"2,482","2,166","4,648",165,0,,,
,RFR,North Of England Commissioning Region,The Rotherham NHS Foundation Trust,"6,324",0,0,"6,324",400,0,0,400,93.7%,93.7%,"1,237",0,0,"1,237",513,"1,750",18,0,,,
,RET,North Of England Commissioning Region,The Walton Centre NHS Foundation Trust,0,0,0,0,0,0,0,0,N/A,N/A,0,0,0,0,168,168,0,0,,,
,RM2,North Of England Commissioning Region,University Hospital Of South Manchester NHS Foundation Trust,"7,904",0,0,"7,904","1,324",0,0,"1,324",83.2%,83.2%,"2,511",0,0,"2,511",822,"3,333",567,0,,,
,RTX,North Of England Commissioning Region,University Hospitals Of Morecambe Bay NHS Foundation Trust,"7,288",0,"1,348","8,636",789,0,30,819,89.2%,90.5%,"2,170",0,131,"2,301","1,020","3,321",175,0,,,
,RWW,North Of England Commissioning Region,Warrington And Halton Hospitals NHS Foundation Trust,"6,716",0,"3,046","9,762","1,313",0,7,"1,320",80.4%,86.5%,"1,665",0,0,"1,665",998,"2,663",418,0,,,
,RY7,North Of England Commissioning Region,Wirral Community NHS Trust,0,0,"5,310","5,310",0,0,19,19,N/A,99.6%,0,0,0,0,0,0,0,0,,,
,RBL,North Of England Commissioning Region,Wirral University Teaching Hospital NHS Foundation Trust,"7,880",0,"2,452","10,332","1,235",0,3,"1,238",84.3%,88.0%,"2,458",0,0,"2,458","1,497","3,955",356,0,,,
,AJN,North Of England Commissioning Region,Workington Health Limited,0,0,"1,829","1,829",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RRF,North Of England Commissioning Region,"Wrightington, Wigan And Leigh NHS Foundation Trust","7,563",0,0,"7,563",509,0,0,509,93.3%,93.3%,"2,042",0,0,"2,042",144,"2,186",27,0,,,
,RCB,North Of England Commissioning Region,York Teaching Hospital NHS Foundation Trust,"9,502",0,"6,152","15,654","2,403",0,8,"2,411",74.7%,84.6%,"2,992",0,0,"2,992","1,705","4,697",259,5,,,
,RTK,South Of England Commissioning Region,Ashford And St Peter's Hospitals NHS Foundation Trust,"8,102",0,"1,303","9,405",913,0,0,913,88.7%,90.3%,"1,897",0,0,"1,897",83,"1,980",192,0,,,
,Y02688,South Of England Commissioning Region,Ashford Health Centre,0,0,"3,479","3,479",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,NQT10,South Of England Commissioning Region,Assura Reading Llp,0,0,"3,675","3,675",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RWX,South Of England Commissioning Region,Berkshire Healthcare NHS Foundation Trust,0,0,"5,437","5,437",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RXH,South Of England Commissioning Region,Brighton And Sussex University Hospitals NHS Trust,"12,049","1,081",0,"13,130","1,493",0,0,"1,493",87.6%,88.6%,"3,743",21,0,"3,764",496,"4,260",364,2,,,
,NLW,South Of England Commissioning Region,Bristol Community Health,0,0,"4,764","4,764",0,0,45,45,N/A,99.1%,0,0,0,0,0,0,0,0,,,
,RXQ,South Of England Commissioning Region,Buckinghamshire Healthcare NHS Trust,"6,626","1,273","3,362","11,261",849,0,6,855,87.2%,92.4%,"2,896",428,0,"3,324","1,062","4,386",380,0,,,
,Y02596,South Of England Commissioning Region,Cardrew Health Centre,0,0,"2,088","2,088",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,Y00058,South Of England Commissioning Region,Carfax Health Enterprise,0,0,"2,629","2,629",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,NLT02,South Of England Commissioning Region,Clevedon Hospital,0,0,"1,004","1,004",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RN7,South Of England Commissioning Region,Dartford And Gravesham NHS Trust,"8,410",0,0,"8,410","1,653",0,0,"1,653",80.3%,80.3%,"2,314",0,0,"2,314",240,"2,554",131,0,,,
,RBD,South Of England Commissioning Region,Dorset County Hospital NHS Foundation Trust,"3,538",0,0,"3,538",170,0,0,170,95.2%,95.2%,"1,175",0,0,"1,175",587,"1,762",8,0,,,
,RDY,South Of England Commissioning Region,Dorset Healthcare University NHS Foundation Trust,0,0,"3,219","3,219",0,0,0,0,N/A,100.0%,0,0,3,3,19,22,0,0,,,
,G82071,South Of England Commissioning Region,Dr Jm Ribchester & Partners,0,0,"1,742","1,742",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RVV,South Of England Commissioning Region,East Kent Hospitals University NHS Foundation Trust,"11,588",0,"4,831","16,419","1,678",0,97,"1,775",85.5%,89.2%,"2,996",0,"1,139","4,135","1,331","5,466",97,0,,,
,RXC,South Of England Commissioning Region,East Sussex Healthcare NHS Trust,"8,476",819,35,"9,330",988,0,0,988,88.3%,89.4%,"2,498",0,0,"2,498",579,"3,077",205,0,,,
,RDU,South Of England Commissioning Region,Frimley Health NHS Foundation Trust,"19,144",0,0,"19,144",770,0,0,770,96.0%,96.0%,"5,521",0,0,"5,521","1,391","6,912",137,0,,,
,R1J,South Of England Commissioning Region,Gloucestershire Care Services NHS Trust,0,0,"5,284","5,284",0,0,13,13,N/A,99.8%,0,0,2,2,47,49,0,0,,,
,RTE,South Of England Commissioning Region,Gloucestershire Hospitals NHS Foundation Trust,"10,532",0,0,"10,532","1,247",0,0,"1,247",88.2%,88.2%,"3,555",0,0,"3,555",806,"4,361",293,0,,,
,RN3,South Of England Commissioning Region,Great Western Hospitals NHS Foundation Trust,"6,366",0,"5,537","11,903","1,252",0,18,"1,270",80.3%,89.3%,"2,235",0,0,"2,235",976,"3,211",539,0,,,
,RN5,South Of England Commissioning Region,Hampshire Hospitals NHS Foundation Trust,"8,702",0,"1,127","9,829","1,101",0,0,"1,101",87.3%,88.8%,"1,945",0,0,"1,945",932,"2,877",684,5,,,
,NDA57,South Of England Commissioning Region,Haslemere Minor Injuries Unit,0,0,599,599,0,0,1,1,N/A,99.8%,0,0,0,0,0,0,0,0,,,
,R1F,South Of England Commissioning Region,Isle Of Wight NHS Trust,"3,171",0,"1,927","5,098",705,0,0,705,77.8%,86.2%,728,0,0,728,179,907,272,0,,,
,RYY,South Of England Commissioning Region,Kent Community Health NHS Foundation Trust,0,0,"8,536","8,536",0,0,1,1,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RWF,South Of England Commissioning Region,Maidstone And Tunbridge Wells NHS Trust,"11,074",0,0,"11,074","1,313",0,0,"1,313",88.1%,88.1%,"2,810",0,0,"2,810",327,"3,137",482,0,,,
,RPA,South Of England Commissioning Region,Medway NHS Foundation Trust,"8,616",0,0,"8,616","1,334",0,0,"1,334",84.5%,84.5%,"2,075",0,0,"2,075","1,179","3,254",197,0,,,
,RVJ,South Of England Commissioning Region,North Bristol NHS Trust,"6,786",0,0,"6,786","1,338",0,0,"1,338",80.3%,80.3%,"2,390",0,0,"2,390","1,183","3,573",415,0,,,
,RBZ,South Of England Commissioning Region,Northern Devon Healthcare NHS Trust,"3,315",0,"6,221","9,536",359,0,0,359,89.2%,96.2%,"1,042",0,0,"1,042",398,"1,440",71,0,,,
,RNU,South Of England Commissioning Region,Oxford Health NHS Foundation Trust,0,0,"2,715","2,715",0,0,85,85,N/A,96.9%,0,0,0,0,0,0,0,0,,,
,RTH,South Of England Commissioning Region,Oxford University Hospitals NHS Foundation Trust,"10,587","1,480",0,"12,067","1,349",0,0,"1,349",87.3%,88.8%,"3,039",89,0,"3,128","2,516","5,644",276,0,,,
,NLX02,South Of England Commissioning Region,Paulton Memorial Hospital,0,0,499,499,0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,NLL,South Of England Commissioning Region,Peninsula Community Health C.I.C,0,0,"6,896","6,896",0,0,2,2,N/A,100.0%,0,0,5,5,20,25,0,0,,,
,NR5,South Of England Commissioning Region,Plymouth Community Healthcare (Cic),0,0,"3,187","3,187",0,0,2,2,N/A,99.9%,0,0,0,0,0,0,0,0,,,
,RK9,South Of England Commissioning Region,Plymouth Hospitals NHS Trust,"6,828",219,0,"7,047",817,0,0,817,88.0%,88.4%,"2,399",0,0,"2,399","1,512","3,911",121,0,,,
,RD3,South Of England Commissioning Region,Poole Hospital NHS Foundation Trust,"5,254",0,0,"5,254",395,0,0,395,92.5%,92.5%,"1,643",0,0,"1,643","1,488","3,131",25,0,,,
,RHU,South Of England Commissioning Region,Portsmouth Hospitals NHS Trust,"9,202",818,"1,706","11,726","2,532",1,3,"2,536",72.5%,78.4%,"3,191",0,8,"3,199","1,185","4,384",613,0,,,
,RPC,South Of England Commissioning Region,Queen Victoria Hospital NHS Foundation Trust,0,0,915,915,0,0,15,15,N/A,98.4%,0,0,11,11,373,384,0,0,,,
,RHW,South Of England Commissioning Region,Royal Berkshire NHS Foundation Trust,"8,957","1,321",0,"10,278",526,2,0,528,94.1%,94.9%,"2,839",5,0,"2,844",641,"3,485",60,0,,,
,REF,South Of England Commissioning Region,Royal Cornwall Hospitals NHS Trust,"5,095",0,"1,335","6,430","1,198",0,8,"1,206",76.5%,81.2%,"2,142",0,12,"2,154","1,165","3,319",483,0,,,
,RH8,South Of England Commissioning Region,Royal Devon And Exeter NHS Foundation Trust,"9,058",0,0,"9,058",725,0,0,725,92.0%,92.0%,"2,632",0,0,"2,632",604,"3,236",0,0,,,
,RA2,South Of England Commissioning Region,Royal Surrey County Hospital NHS Foundation Trust,"5,364",0,0,"5,364",258,0,0,258,95.2%,95.2%,"1,614",0,0,"1,614",157,"1,771",0,0,,,
,RD1,South Of England Commissioning Region,Royal United Hospitals Bath NHS Foundation Trust,"5,668",0,"1,029","6,697",820,0,3,823,85.5%,87.7%,"2,084",0,91,"2,175",927,"3,102",398,0,,,
,RNZ,South Of England Commissioning Region,Salisbury NHS Foundation Trust,"3,660",0,0,"3,660",223,0,0,223,93.9%,93.9%,980,0,0,980,695,"1,675",44,0,,,
,RH5,South Of England Commissioning Region,Somerset Partnership NHS Foundation Trust,0,0,"6,593","6,593",0,0,8,8,N/A,99.9%,0,0,11,11,153,164,0,0,,,
,NTP11,South Of England Commissioning Region,Southampton NHS Treatment Centre,0,0,"3,997","3,997",0,0,2,2,N/A,99.9%,0,0,0,0,0,0,0,0,,,
,RW1,South Of England Commissioning Region,Southern Health NHS Foundation Trust,0,0,"1,701","1,701",0,0,13,13,N/A,99.2%,0,0,6,6,55,61,0,0,,,
,NTPAD,South Of England Commissioning Region,St Mary's NHS Treatment Centre,0,0,"3,670","3,670",0,0,5,5,N/A,99.9%,0,0,0,0,0,0,0,0,,,
,RTP,South Of England Commissioning Region,Surrey And Sussex Healthcare NHS Trust,"7,579",0,0,"7,579",539,0,0,539,92.9%,92.9%,"2,483",0,0,"2,483",453,"2,936",243,0,,,
,RDR,South Of England Commissioning Region,Sussex Community NHS Trust,0,0,"8,793","8,793",0,0,36,36,N/A,99.6%,0,0,0,0,0,0,0,0,,,
,RBA,South Of England Commissioning Region,Taunton And Somerset NHS Foundation Trust,"5,040",0,0,"5,040",292,0,0,292,94.2%,94.2%,"1,675",0,0,"1,675","1,696","3,371",13,0,,,
,AAH,South Of England Commissioning Region,Tetbury Hospital Trust Ltd,0,0,233,233,0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RDZ,South Of England Commissioning Region,The Royal Bournemouth And Christchurch Hospitals NHS Foundation Trust,"5,723","1,345",0,"7,068",511,1,0,512,91.1%,92.8%,"1,785",6,0,"1,791","1,008","2,799",122,0,,,
,RA9,South Of England Commissioning Region,Torbay And South Devon NHS Foundation Trust,"6,090",0,"2,361","8,451","1,019",0,1,"1,020",83.3%,87.9%,"2,349",0,0,"2,349",419,"2,768",208,3,,,
,RHM,South Of England Commissioning Region,University Hospital Southampton NHS Foundation Trust,"7,974","1,525",0,"9,499","1,235",7,0,"1,242",84.5%,86.9%,"3,099",12,0,"3,111","1,926","5,037",166,0,,,
,RA7,South Of England Commissioning Region,University Hospitals Bristol NHS Foundation Trust,"9,157","1,766",0,"10,923","1,133",3,0,"1,136",87.6%,89.6%,"2,870",15,0,"2,885",632,"3,517",256,0,,,
,RYR,South Of England Commissioning Region,Western Sussex Hospitals NHS Foundation Trust,"10,883",0,0,"10,883",420,0,0,420,96.1%,96.1%,"3,003",0,0,"3,003","1,429","4,432",89,0,,,
,RA3,South Of England Commissioning Region,Weston Area Health NHS Trust,"4,275",0,0,"4,275",591,0,0,591,86.2%,86.2%,"1,085",0,0,"1,085",108,"1,193",0,0,,,
,NDA56,South Of England Commissioning Region,Weybridge Walk In Centre,0,0,"2,506","2,506",0,0,8,8,N/A,99.7%,0,0,0,0,0,0,0,0,,,
,NDA55,South Of England Commissioning Region,Woking Walk In Centre,0,0,"3,093","3,093",0,0,28,28,N/A,99.1%,0,0,0,0,0,0,0,0,,,
,NLX24,South Of England Commissioning Region,Yate West Gate Centre,0,0,"1,413","1,413",0,0,0,0,N/A,100.0%,0,0,0,0,0,0,0,0,,,
,RA4,South Of England Commissioning Region,Yeovil District Hospital NHS Foundation Trust,"3,840",0,0,"3,840",305,0,0,305,92.1%,92.1%,"1,206",0,0,"1,206",249,"1,455",0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Note: Sheffield Teaching Hospitals NHS Foundation Trust did not submit data this month due to IT difficulties ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"Note: This publication has been revised to correct an error in the original version where data from one provider was not included in the national totals for November 2015. The impact on national figures is fairly small. For example 91.3% of patients admitted, transferred or discharged within four hours of arrival in all types of A&E departments in November 2015 was previously reported as 91.4%, and total A&E attendances are now 1,874,234 instead of 1,851,172.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
